date,strat_nav,bench_nav_tr,bench_nav_px,strat_ret,bench_ret_tr,bench_ret_px,strat_nav_gated
20180831,1.012895849735059,1.0,1.0,0.012895849735059112,0.0,0.0,1.012895849735059
20180928,0.9040378759255454,1.0,1.0,-0.10747203065151012,0.0,0.0,0.9040378759255454
20181031,0.9855372293441708,1.0,1.0,0.09015037487802943,0.0,0.0,0.9855372293441708
20181130,0.9507939445905751,1.0,1.0,-0.0352531428738777,0.0,0.0,0.9507939445905751
20181228,0.9284935445117262,1.0,1.0,-0.023454503686865392,0.0,0.0,0.9284935445117262
20190131,1.2210216841801287,1.1479266505219894,1.146093317188656,0.3150567296859736,0.1479266505219894,0.14609331718865604,1.2210216841801287
20190228,1.340491832181222,1.2135286458598382,1.2094893696595028,0.09784441140479277,0.057148246630582156,0.0553149132972488,1.2382346448319337
20190329,1.3063690276651196,1.228561377867181,1.2222546674695485,-0.025455436353221478,0.012387620233464958,0.010554286900131604,1.2358823465920106
20190430,1.2865959025358964,1.1418328614502598,1.133730563942508,-0.015135941461015764,-0.07059355599106043,-0.07242688932439367,1.223563015122
20190531,1.3376368008902766,1.2055189402064528,1.1948862285313082,0.03967127382714195,0.05577530732063907,0.053941973987305714,1.2710989017075098
20190628,1.3386474491025406,1.2108082845240309,1.1979382959277878,0.0007555475534103188,0.004387607810352856,0.0025542744770195025,1.2720592773728374
20190731,1.4077865528591749,1.2017348253230717,1.186765060618595,0.05164847832264319,-0.0074937207788645654,-0.00932705411219803,1.3377592033853456
20190830,1.5080202442153314,1.2086638365368632,1.1914320226137096,0.07119949480451043,0.0057658404065377145,0.003932507073204361,1.4330069828364667
20190930,1.5159453027797047,1.2337643785104861,1.2139904163284672,0.005255273325920802,0.020767182085585256,0.018933848752251903,1.4405378262092254
20191031,1.461082588542471,1.217589641556824,1.195849268299981,-0.036190431235635694,-0.01311006966596806,-0.014943402999301414,1.3884041410674683
20191129,1.5918380369525358,1.3050228117814153,1.2795289066695368,0.08949216795506548,0.07180840509845199,0.06997507176511863,1.5126554376493868
20191231,1.735589311180654,1.2778906046143026,1.2505809300884603,0.09030521377873336,-0.02079059992068344,-0.02262393325401668,1.5605025241737436
20200123,1.7981674818160147,1.2598541529913565,1.2306372019954441,0.03605586311936386,-0.01411423760204411,-0.015947570935377464,1.614783915354019
20200228,1.6113733872951315,1.1809798575384807,1.1513358916735337,-0.10388025387503688,-0.0626058939168469,-0.06443922725018025,1.4470397522737175
20200331,1.7005253637912823,1.255686682389795,1.2220567059979481,0.05532670279841373,0.06325833956814964,0.06142500623481628,1.5270996905852556
20200430,1.703791164932529,1.2433688583540576,1.2078283423544063,0.0019204659987932867,-0.009809631820172138,-0.011642965153505491,1.5289517118268003
20200529,1.8416918084926879,1.3411240222977359,1.3005749159702276,0.08093752708573278,0.07862120985809806,0.07678787652476471,1.6276991647262085
20200630,2.0160418994002485,1.5146331117516987,1.4664535421001235,0.09466844023716177,0.12937587170848763,0.12754253837515428,1.6912407582678688
20200731,2.1085055494260385,1.5564993800282452,1.5042995713656255,0.045863952556391356,0.02764119439335877,0.025807861060025417,1.709809546942394
20200831,2.0014455007326855,1.4854031560071927,1.4328297955190428,-0.05077532222881549,-0.045677001181820165,-0.04751033451515341,1.673315353291028
20200930,1.9532963463432387,1.5230769886702618,1.4665433712563751,-0.02405718985194472,0.025362698679284756,0.023529365345951403,1.6310982606525528
20201030,1.9533510225472541,1.6118036898995918,1.5492880492771015,2.799176075745811e-05,0.05825490233871489,0.05642156900538153,1.631143917964837
20201130,1.8801630290659255,1.6963314798607847,1.627696971273816,-0.03746791674232136,0.052442980799019434,0.05060964746568608,1.576422100467131
20201231,1.6974288391599923,1.745233032116985,1.6716358286025963,-0.09719060904878897,0.028827828072974127,0.026994494739640773,1.4786762009461547
20210129,1.7003856645777007,1.7434748205240145,1.6668870958386828,0.0017419436676778721,-0.0010074365775886163,-0.0028407699109220808,1.4801656999499655
20210226,1.6548206433886208,1.6524532756380783,1.5768080046398818,-0.026796874461063037,-0.052206974149806684,-0.05404030748314015,1.4475447095142626
20210331,1.650944187112066,1.6800741234147045,1.6002736228582841,-0.002342523518812859,0.016715055235652976,0.014881721902319622,1.4448420443639054
20210430,1.7668932428356598,1.7513872215809196,1.6652656420874707,0.07023196582218749,0.04244639993697019,0.04061306660363684,1.545542634114625
20210531,1.788826716404561,1.7192756265134805,1.6316800947616388,0.012413581668182964,-0.018334948817573915,-0.02016828215090727,1.5523040821977345
20210630,1.696463928551069,1.5865481647969957,1.5027235631715574,-0.051633166592645774,-0.07719964133129886,-0.07903297466463222,1.4998529745554854
20210730,1.7858111658280307,1.5876234831953684,1.5009870743777602,0.05266674744642062,0.0006777722997841629,-0.0011555610335490796,1.566744513092446
20210831,1.8188928381565352,1.610611529046898,1.519968855894199,0.018524731484230176,0.014479532518165028,0.012646199184831675,1.5843271448546918
20210930,1.7811773262349095,1.627593176025234,1.533208193031237,-0.020735422742029604,0.010543602024496224,0.00871026869116287,1.5636606123073071
20211029,1.9729557567264826,1.6051311764003386,1.5092378948730876,0.10766947662474369,-0.013800745761142874,-0.015634079094476228,1.6963028513683187
20211130,2.091661644601336,1.644065368324815,1.5430791554472616,0.060166522979617915,0.024256081058614765,0.02242274772528141,1.7220712109827172
20211231,1.8943371282424162,1.521753502173721,1.4254512798483991,-0.09433864070138813,-0.07439598723238183,-0.07622932056571519,1.6924589224783115
20220128,1.9210229299483486,1.5305032934940135,1.431034024479569,0.014087144948001794,0.005749808564786685,0.003916475231453331,1.7135264936759464
20220228,1.7435781230433476,1.4133685132133775,1.3188884135412013,-0.09236995776503935,-0.07653350422606853,-0.07836683755940199,1.58261731603367
20220331,1.4578589151173045,1.3468892082486588,1.2544351193770449,-0.16386946139662004,-0.04703607328394077,-0.048869406617274014,1.3392733704069757
