factor,n,ic_mean,ic_std,ir,ic_pos_ratio
F1_冷门研发股,86,0.0451225601450135,0.1086981002307693,0.4151182039908422,0.6395348837209303
F2_质量股反转,86,0.057940228637486574,0.19051736400784486,0.304120461351233,0.6162790697674418
COMPOSITE_合成分,86,0.05794541723543967,0.1613628554822097,0.3591000981129029,0.6046511627906976
