date,nav
20100104,80000000.0
20100105,80000000.0
20100106,80000000.0
20100107,80000000.0
20100108,80000000.0
20100111,80000000.0
20100112,80000000.0
20100113,80000000.0
20100114,80000000.0
20100115,80000000.0
20100118,80000000.0
20100119,80000000.0
20100120,80000000.0
20100121,80000000.0
20100122,80000000.0
20100125,80000000.0
20100126,80000000.0
20100127,80000000.0
20100128,80000000.0
20100129,80000000.0
20100201,80000000.0
20100202,80000000.0
20100203,80000000.0
20100204,80000000.0
20100205,80000000.0
20100208,80000000.0
20100209,80000000.0
20100210,80000000.0
20100211,80000000.0
20100212,80000000.0
20100222,80000000.0
20100223,80000000.0
20100224,80000000.0
20100225,80000000.0
20100226,80000000.0
20100301,80135352.91076836
20100302,80116691.73265769
20100303,80387172.94023882
20100304,79664621.1627719
20100305,79750462.69839105
20100308,79999313.29133008
20100309,79968328.91152827
20100310,79790976.85630795
20100311,79748083.10798858
20100312,79626965.04631823
20100315,79615545.35574417
20100316,79627672.79303578
20100317,79730015.31023769
20100318,79754229.80530278
20100319,79833894.99419196
20100322,79911699.44176179
20100323,79909380.31114678
20100324,79972901.48787382
20100325,79951135.11043972
20100326,80057892.87952544
20100329,80110545.57359566
20100330,80201289.86206636
20100331,80276786.64798485
20100401,80442661.59779844
20100402,80468953.78127818
20100406,80528572.42872818
20100407,80569152.93276879
20100408,80588172.55797769
20100409,80820034.38880505
20100412,81095649.8306031
20100413,80897080.93153484
20100414,81029323.47273599
20100415,80893497.6462341
20100416,80889175.9244641
20100419,80630424.44072147
20100420,80875472.25584456
20100421,81123241.16082399
20100422,81246474.79541975
20100423,81204762.66687873
20100426,81244429.9326297
20100427,81143429.37887664
20100428,81125104.04916151
20100429,80906323.91528083
20100430,80879212.91207053
20100504,80883685.1509939
20100505,80939887.38091846
20100506,80909400.35551079
20100507,80874107.58302559
20100510,80834669.48396143
20100511,80834061.92187092
20100512,80809540.84883857
20100513,80824151.96724212
20100514,80831474.690124
20100517,80821894.86721459
20100518,80822574.89002165
20100519,80831275.77865383
20100520,80818386.02436915
20100521,80822424.85230535
20100524,80842468.72850737
20100525,80854047.59353939
20100526,80845939.57629134
20100527,80885634.2836676
20100528,80921407.74858274
20100531,80861811.46735787
20100601,80833146.48374145
20100602,80836973.49964571
20100603,80836344.47368966
20100604,80854789.07963304
20100607,80884975.62272123
20100608,80918455.65101056
20100609,80952735.18326198
20100610,80955793.58478865
20100611,80939280.57397792
20100617,80872850.45293793
20100618,80816686.81833896
20100621,80839034.55345097
20100622,80849275.33686933
20100623,80848078.79327455
20100624,80851829.19755855
20100625,80838623.01051192
20100628,80821717.39666761
20100629,80810570.45663135
20100630,80815743.78834857
20100701,80820223.78834857
20100702,80817723.5837831
20100705,80833391.67792137
20100706,80841688.14078066
20100707,80848305.09091444
20100708,80853354.72589181
20100709,80867440.81999546
20100712,80861108.8032654
20100713,80853712.4994179
20100714,80851145.52540797
20100715,80832946.41868834
20100716,80844146.38845122
20100719,80862778.49921891
20100720,80880888.65388691
20100721,80881981.61813936
20100722,80909743.02874728
20100723,80900749.59390987
20100726,80932054.39816466
20100727,80935128.79584274
20100728,80973024.79960775
20100729,80986981.34234072
20100730,81005619.6131078
20100802,81051866.002991
20100803,81005478.02306661
20100804,81055172.97814389
20100805,81054576.71226433
20100806,81091093.28873038
20100809,81125966.36344254
20100810,81062907.10418889
20100811,81110486.17622815
20100812,81091803.47727191
20100813,81120354.0986573
20100816,81169775.02996221
20100817,81241606.7347379
20100818,81267888.38552125
20100819,81293872.21855986
20100820,81220531.50508834
20100823,81273847.35108697
20100824,81311997.01588462
20100825,81267957.36103104
20100826,81328837.83034052
20100827,81376515.49207276
20100830,81521703.29267135
20100831,81636148.46680799
20100901,81553114.97172739
20100902,81750436.97005789
20100903,81828150.1489403
20100906,81787310.76919092
20100907,81870742.86989945
20100908,82039217.035947
20100909,81937136.31567006
20100910,82058950.3577147
20100913,82241348.89376232
20100914,82342059.32491171
20100915,82078779.63160264
20100916,81927867.19573538
20100917,81992966.63137054
20100920,81944483.54148108
20100921,81902108.45303118
20100927,82105123.0500539
20100928,82158848.20397286
20100929,82091004.50937437
20100930,82213908.31893788
20101008,82420542.14518589
20101011,82447297.46554732
20101012,82704895.91909435
20101013,82745512.99374609
20101014,82775217.33719337
20101015,83008231.21301167
20101018,82800467.63180755
20101019,83115147.8481614
20101020,83277481.40928239
20101021,83355234.21053097
20101022,83426867.57310712
20101025,83908871.34980145
20101026,83968790.85762788
20101027,83677388.13217439
20101028,83691507.44484444
20101029,83868845.98637612
20101101,84425952.38894588
