date,nav_buyhold,nav_macd_cash
20100104,1.0,1.0
20100105,1.0086725160397871,1.0
20100106,1.0034621785765965,0.9948344607587334
20100107,0.9835008254425655,0.9750447343444532
20100108,0.9882521971278829,0.9750447343444532
20100111,0.9901456189149096,0.9750447343444532
20100112,1.0066145973770955,0.9750447343444532
20100113,0.9794555930067677,0.9750447343444532
20100114,0.9962258998001942,0.9750447343444532
20100115,1.0009273637432372,0.9750447343444532
20100118,1.0090442387580323,0.9750447343444532
20100119,1.0105567347191777,0.9750447343444532
20100120,0.9767658387859262,0.9750447343444532
20100121,0.9806582599780603,0.9750447343444532
20100122,0.9647434959358586,0.9750447343444532
20100125,0.9535199741546608,0.9750447343444532
20100126,0.9253523315331322,0.9750447343444532
20100127,0.9143505382490283,0.9750447343444532
20100128,0.9196764249730668,0.9750447343444532
20100129,0.9211350389699297,0.9750447343444532
20100201,0.907738528277054,0.9750447343444532
20100202,0.9047819009048512,0.9750447343444532
20100203,0.9262619814197344,0.9750447343444532
20100204,0.9260328575421356,0.9750447343444532
20100205,0.9067483426953411,0.9750447343444532
20100208,0.906265896733531,0.9750447343444532
20100209,0.9102514602223097,0.9750447343444532
20100210,0.9227990492953576,0.9750447343444532
20100211,0.9236429593072832,0.9750447343444532
20100212,0.933424003377969,0.9853701045769787
20100222,0.929708596755794,0.9814479313753152
20100223,0.9242498729567089,0.9756854234246992
20100224,0.9392182052728655,0.9914867603587589
20100225,0.9533551544765684,1.0064104467701223
20100226,0.9513269276006502,1.0042693467752681
20100301,0.9632575010399731,1.0168638701162418
20100302,0.9606038487368784,1.014062539062028
20100303,0.9692991315562848,1.0232417242019833
20100304,0.9420630851797843,0.9944899610491684
20100305,0.9449839945553912,0.9975734223341641
20100308,0.9532926469169701,1.0063444605941558
20100309,0.9578349494177361,1.0111395473650149
20100310,0.9489854437980146,1.001797556751529
20100311,0.9464543020526713,0.9991255541061265
20100312,0.9333745714510351,0.9853179217074188
20100315,0.9205734279768646,0.9718043801248155
20100316,0.9269730918439303,0.9718043801248155
20100317,0.9485791101864298,0.9718043801248154
20100318,0.9479671263423103,0.9711774123011575
20100319,0.9553687669578682,0.9787602767065261
20100322,0.9586221627143393,0.9820933294930214
20100323,0.9511171312706717,0.9744045428102772
20100324,0.9526146840565493,0.9759387620874632
20100325,0.9390777773283584,0.9620704140387576
20100326,0.9524390909738404,0.9757588697357725
20100329,0.9724265263420623,0.9962356829290151
20100330,0.9752673862813329,0.9991460992587208
20100331,0.9712987538600779,0.9950802977576494
20100401,0.985010646951537,1.0091279165835205
20100402,0.9891682705747328,1.0133873365987243
20100406,0.9891885990249594,1.0134081627762768
20100407,0.9857969936135422,1.0099335163719063
20100408,0.9771489545323719,1.0010737363405706
20100409,0.9880153530890184,1.0122061907664917
20100412,0.9839405999933339,1.0080316703034222
20100413,0.989715188127587,1.0139476450302756
20100414,0.9952937414386513,1.019662785163803
20100415,0.9900523202290488,1.0142930315661616
20100416,0.9809290365015654,1.0049463708688295
20100419,0.9310769585326918,0.953873701011116
20100420,0.9335788013005687,0.953873701011116
20100421,0.954751920174686,0.953873701011116
20100422,0.9475714750199357,0.953873701011116
20100423,0.9430821648655797,0.953873701011116
20100426,0.9392991440308097,0.953873701011116
20100427,0.9189204665509272,0.953873701011116
20100428,0.9152309198685348,0.953873701011116
20100429,0.8992124544286331,0.953873701011116
20100430,0.8944220985282606,0.953873701011116
20100504,0.8838029099218625,0.953873701011116
20100505,0.8942425861025659,0.953873701011116
20100506,0.8564985705169395,0.953873701011116
20100507,0.839905926876305,0.953873701011116
20100510,0.8403059911686599,0.953873701011116
20100511,0.8213960921718059,0.953873701011116
20100512,0.8198612794881062,0.953873701011116
20100513,0.8407224941992913,0.953873701011116
20100514,0.8380272642417478,0.953873701011116
20100517,0.790869728362149,0.953873701011116
20100518,0.8060504471216298,0.953873701011116
20100519,0.8043288534672547,0.953873701011116
20100520,0.7925465447324347,0.953873701011116
20100521,0.8060084743833038,0.953873701011116
20100524,0.8380585612688836,0.9538737010111161
20100525,0.823602491704093,0.937419881176661
20100526,0.8241833712356971,0.9380810351034389
20100527,0.8379800607836628,0.9537843521853547
20100528,0.8367441164962313,0.9523776071126585
20100531,0.8132665917987082,0.925655616062416
20100601,0.802883836923657,0.9138380208762739
20100602,0.8087666223818915,0.9205337753218873
20100603,0.8025792790586276,0.9134913747690523
20100604,0.8061888182129554,0.9175997326227924
20100607,0.794786112182294,0.9046212345730373
20100608,0.7974671718121182,0.9076728020766971
20100609,0.8207055276423852,0.9341225724217054
20100610,0.8143500881989996,0.9268888457782646
20100611,0.8149342362853965,0.9275537199563487
20100617,0.8087014012866733,0.920459541025676
20100618,0.7896513837768225,0.898776914600459
20100621,0.8138869420072873,0.9263616952992707
20100622,0.8162366404719006,0.9290361093250726
20100623,0.8094632470811719,0.9213266697696361
20100624,0.8092782849660702,0.9211161468951823
20100625,0.8012185011719193,0.9119425447719178
20100628,0.7935175285701243,0.9031773395982634
20100629,0.7548748689490485,0.8591944743747888
20100630,0.7448462430093278,0.8477799468187505
20100701,0.7338319663467247,0.8477799468187505
20100702,0.7344860475632777,0.8477799468187505
20100705,0.7287084743784937,0.8477799468187505
20100706,0.7448312401876336,0.8477799468187505
20100707,0.7513858104961612,0.8477799468187505
20100708,0.7493446378116664,0.8477799468187505
20100709,0.7704097657696951,0.8477799468187504
20100712,0.7788788759990869,0.8570995870139946
20100713,0.7667121402180181,0.8437109786762912
20100714,0.7726497493822819,0.8502448859619561
20100715,0.758294815940791,0.8344483251571286
20100716,0.7610747720520994,0.8375074647850498
20100719,0.7798328386918847,0.8581493536147063
20100720,0.7982503933774572,0.8784165337902672
20100721,0.7999248104062273,0.8802591080185221
20100722,0.8102938413844012,0.8916694728942266
20100723,0.812720605841203,0.8943399507795551
20100726,0.8194814465419625,0.9017797645311546
20100727,0.8160357873068845,0.8979880670049019
20100728,0.8355935908374535,0.919510008150692
20100729,0.8403107308578723,0.9247008778583882
20100730,0.8381721419133863,0.9223475161771377
20100802,0.8526236991147961,0.9382504044062594
20100803,0.8376637041750062,0.9217880174039441
20100804,0.8427219490334017,0.9273542481912219
20100805,0.8381804442227924,0.9223566522651515
20100806,0.8528644693934915,0.9385153545965832
20100809,0.8602826066291542,0.9466784754065345
20100810,0.8331070998957011,0.9167738056101411
20100811,0.8395581069400754,0.9238726699444257
20100812,0.8293154107151381,0.9126013272814957
20100813,0.8419950120859019,0.9126013272814957
20100816,0.8615833643694063,0.9126013272814957
20100817,0.8677330485073403,0.9126013272814958
20100818,0.8666236108100507,0.9114345233700574
20100819,0.8707557696624292,0.915780345693761
20100820,0.853487581186444,0.897619262916011
20100823,0.8549735733069973,0.8991820919264765
20100824,0.8610182576191363,0.8991820919264765
20100825,0.8415439341653088,0.8991820919264765
20100826,0.8446616507826583,0.8991820919264765
20100827,0.848144645561114,0.8991820919264765
20100830,0.8666327109291281,0.8991820919264765
20100831,0.8659192842144448,0.8991820919264765
20100901,0.8587243672882794,0.8991820919264765
20100902,0.8717110453441892,0.8991820919264765
20100903,0.8733730789524042,0.8991820919264765
20100906,0.8847213615978711,0.8991820919264764
20100907,0.8878908020134062,0.9024033367011364
20100908,0.8894928215053309,0.9040315411286345
20100909,0.8744496233899339,0.8887424626257292
20100910,0.8781923365845058,0.8925463502968688
20100913,0.8889774285449905,0.8925463502968688
20100914,0.8903608623887008,0.8925463502968688
20100915,0.875240690345532,0.8773890641412477
20100916,0.8570866298781261,0.8773890641412477
20100917,0.8574759740700495,0.8773890641412477
20100920,0.8523787819930403,0.8773890641412477
20100921,0.8537042338084062,0.8773890641412477
20100927,0.8705331568344031,0.8773890641412477
20100928,0.8643011726374288,0.8773890641412477
20100929,0.8596849765559748,0.8773890641412477
20100930,0.8764763564376185,0.8773890641412477
20101008,0.9055681202765133,0.8773890641412477
20101011,0.925894245707089,0.8970826904624845
20101012,0.9353990384905441,0.9062917174350613
20101013,0.946706672584637,0.917247485723855
20101014,0.9400691005974438,0.9108164586772807
20101015,0.963160082540681,0.9331889059660534
20101018,0.9556687977932706,0.9259307316039315
20101019,0.9780328653319048,0.9475988842793176
20101020,0.983429796080135,0.9528278757956918
20101021,0.9806294954634833,0.9501147136576431
20101022,0.9837444796093747,0.9531327671462574
20101025,1.0121606199109803,0.9806646669420664
20101026,1.011336565727485,0.9798662553011644
20101027,0.9951843781859937,0.9642166841716775
20101028,0.994081071786393,0.9631477099578867
20101029,0.993088513247504,0.9621860374033412
20101101,1.0206606627054688,0.9889002092780087
20101102,1.0171549908366655,0.985503625309023
20101103,1.0040360930634895,0.972792955418991
20101104,1.0237396658364557,0.972792955418991
20101105,1.0367549691636084,0.972792955418991
20101108,1.048876956307884,0.972792955418991
20101109,1.0453933974567278,0.972792955418991
20101110,1.0408465162894378,0.972792955418991
20101111,1.0409213569225988,0.972792955418991
20101112,0.976689941653184,0.972792955418991
20101115,0.9890501436384498,0.972792955418991
20101116,0.9479005333040124,0.972792955418991
20101117,0.922769827914704,0.972792955418991
20101118,0.9362495194690976,0.972792955418991
20101119,0.9505435407575664,0.972792955418991
20101122,0.952588706711865,0.972792955418991
20101123,0.9340364467032478,0.972792955418991
20101124,0.9565135424541699,0.972792955418991
20101125,0.9693435817195079,0.972792955418991
20101126,0.9614682365699724,0.972792955418991
20101129,0.9614914568266009,0.972792955418991
20101130,0.9429122513472896,0.972792955418991
20101201,0.9429997708336868,0.972792955418991
20101202,0.948236485774858,0.972792955418991
20101203,0.9469589194122118,0.972792955418991
20101206,0.9442900863105038,0.972792955418991
20101207,0.9553148069303219,0.972792955418991
20101208,0.9483725465224457,0.972792955418991
20101209,0.9324559974208898,0.972792955418991
20101210,0.9446327892022122,0.972792955418991
20101213,0.9733063110188838,0.972792955418991
20101214,0.9784420362693184,0.9779259719093087
20101215,0.9730050255794791,0.9724918288880058
20101216,0.9686001328302697,0.9680892594324338
20101217,0.9680909065534449,0.9675803017392582
20101220,0.9545571347582888,0.9540536681260497
20101221,0.9729768103868427,0.9724636285770433
20101222,0.963102979387403,0.9625950053794832
20101223,0.9518996001876798,0.951397535231602
20101224,0.9423357167840964,0.9418386961527562
20101227,0.9213369161517054,0.9208509710181542
20101228,0.9033412473872175,0.9208509710181542
20101229,0.911190800692792,0.9208509710181542
20101230,0.9124902098565313,0.9208509710181542
20101231,0.9319534318313397,0.9208509710181542
20110104,0.9491124289089014,0.9208509710181542
20110105,0.9469414465633501,0.9208509710181542
20110106,0.9420490324071896,0.9160933544382974
20110107,0.9422228697559448,0.9162624021571203
20110110,0.9221313588489102,0.8967244598745117
20110111,0.9244449095030806,0.8989742667386259
20110112,0.9296906175471162,0.9040754431245144
20110113,0.9291057279614949,0.9035066686297317
20110114,0.913081270120608,0.8879237224862576
20110117,0.8771454169341955,0.8529779870121477
20110118,0.8787261392593807,0.8529779870121477
