,is_total,is_ann,is_sharpe,is_eq,oos_total,oos_ann,oos_sharpe,oos_eq,n
原10只,-0.39577416449876035,-0.13410113927891953,-0.5199282499877983,0.23922931989373453,-0.360151972072826,-0.12007285187080763,-0.5654040811227411,0.7142394869001549,10.0
选池-收益top10,-0.07596511242330717,-0.022326598005649623,-0.05744813285993212,0.47933876617890636,0.5029665745600491,0.1238045248751769,0.6300794496017074,0.9313934291210197,10.0
选池-夏普top10,0.027341511074304492,0.0077390279179363475,0.04787143309894249,0.35906332104237615,0.24624105471570767,0.06509213239928346,0.3685129096082835,0.7180196834628831,10.0
V6原4只,0.44308928529941705,0.11051824486008699,0.5187018375087984,0.501344715702208,0.9099748699951387,0.20366645438287123,1.0352791173412588,1.0388235777412946,4.0
V6选池-收益top4,0.8436028763190744,0.19104244171371887,0.7274343707527295,0.6312275725450727,0.7861855618969491,0.180781537574217,0.8034098501298322,0.9411260238502843,4.0
V6选池-夏普top4,0.04348981055717571,0.012240935616657067,-0.31301783396762867,0.12021039801621147,0.04643317214140308,0.013087051442263409,-0.4289409228392443,0.13059752165557414,4.0
