mom_W,R2=0.0,R2=0.3,R2=0.5,R2=0.7
10,242.19290492033792,159.3897525620049,127.05893059171589,167.66644853392768
15,108.43035773346772,195.3538439045292,141.94895198058748,123.68645456604703
20,172.736176812832,115.8496414526629,127.82488789850942,76.03794295399902
25,120.6690835028446,78.6419406135541,129.17108974056418,109.63717307612306
30,150.85487303214538,124.93281852622778,105.12360034547127,103.81853419968014
40,158.08997285306967,59.51097541528571,73.14197338791905,53.83575249304964
