entry_i,entry_date,entry_px_g,entry_px,first_cond_i,cash_before_g,cash_before_n,unclear,exit_i,exit_date,exit_px_g,exit_px,hold_days,ret_n,ret_g,lag,chase,exit_cls,late_cls,code,regime,near_turning_entry,near_turning_exit,top_drawback,missed,open_at_end
748,20150319,356.76550000000003,357.12226549999997,745,611045.9449058523,601646.9270644779,119,899,20160125,388.7514,388.3626486,151,0.08628224920290695,0.08965524973687189,0.02569882777276833,0.12068965517241392,正确结束,发现太晚,000858.SZ,震荡段,True,True,-0.2779911373707532,0.010229132569558042,
942,20160331,451.9435,452.39544349999994,939,665829.4216970893,653558.3771576184,95,1059,20160920,532.44996,531.91751004,117,0.17448701991422788,0.17813390390613004,0.006054131054131107,0.2662483191393994,提前结束(暂时反走),发现太晚,000858.SZ,上升段,False,True,-0.14194543325647646,0.05656317245619413,
1146,20170203,607.4383,608.0457382999999,1143,784436.2159195527,767595.8307278303,113,1299,20170913,896.3181900000001,895.4218718100001,153,0.47100316113112184,0.47557075344113153,-0.0085515766969535,0.10252600297176828,提前结束(暂时反走),发现太晚,000858.SZ,上升段,False,True,-0.06657608695652173,0.1308224163027656,
1320,20171019,1019.66013,1020.6797901299999,1317,1157491.1381509246,1129135.8934717078,45,1404,20180222,1300.2714,1298.9711286000002,84,0.27125343465965024,0.2752007867562696,0.022799664710813072,0.2045409674234946,提前结束(暂时反走),发现太晚,000858.SZ,上升段,True,True,-0.14037347070186756,0.010986267166042563,
1452,20180507,1224.72864,1225.95336864,1449,1476033.610033469,1435417.8827734014,59,1524,20180816,1061.16825,1060.10708175,72,-0.13623034874057272,-0.13354826910882078,0.028924459421510784,0.17659586793651894,提前结束(暂时反走),发现太晚,000858.SZ,震荡段,True,True,-0.2811960018630323,0.08225674570727737,
1598,20181206,920.2012499999998,921.1214512499997,1595,1278911.876267055,1239870.4040147264,19,1620,20190109,841.2052499999999,840.3640447499998,22,-0.08867617793659688,-0.08584643848288631,-0.018878199310219834,0.1260416666666666,提前结束(暂时反走),发现太晚,000858.SZ,混合,True,True,-0.08134410576569961,0.33459924045572653,
1640,20190213,1114.797,1115.911797,1637,1169121.8465560626,1129923.4354499963,113,1803,20191015,2269.313,2267.0436870000003,163,1.0293276699218796,1.0356289082227526,0.07028440666884617,0.36416666666666675,中性,发现太晚,000858.SZ,上升段,True,True,-0.07274633123689722,0.029693270027884466,
1931,20200422,2191.9891500000003,2194.18113915,1928,2379898.228084286,2292984.892451866,204,2228,20210713,4802.943250000001,4798.140306750001,297,1.1843519889067613,1.1911345911543405,-0.017699115044247593,0.2829767819121971,提前结束(暂时反走),发现太晚,000858.SZ,上升段,True,True,-0.2198637435360925,0.03612318840579731,
2323,20211202,3910.135,3914.045135,2320,5214677.330982402,5008686.11036039,18,2353,20220114,3669.25225,3665.58299775,30,-0.06450949351863278,-0.06160471441523119,-0.018377608685978708,0.12036566785170133,提前结束(暂时反走),发现太晚,000858.SZ,上升段,True,True,-0.19443256483029425,0.055598455598455665,
2448,20220613,3105.2427500000003,3108.34799275,2445,4893428.623239651,4685578.30618723,18,2485,20220803,3165.3475359999998,3162.182188464,37,0.01620051507466469,0.019355905750041424,-0.016504799865266984,0.1710561497326204,提前结束(暂时反走),发现太晚,000858.SZ,上升段,True,True,-0.14834146341463417,0.03975027206598325,
2567,20221205,3039.367136,3042.4065031359996,2564,4988145.366465633,4761487.088170138,49,2634,20230316,3437.4652,3434.0277348,67,0.12747965587281973,0.13098057792515405,0.07662884100471734,0.20878963567389586,提前结束(暂时反走),发现太晚,000858.SZ,上升段,True,True,-0.13047432807312753,0.05648535564853563,
