entry_date,exit_date,hold_days,ret_g,ret_n,lag,chase,unclear,exit_cls,late_cls
20120229,20121121,177,0.09071844609704094,0.08734215446537208,0.014741518578351931,0.05583863003624501,143,提前结束(暂时反走),及时
20130514,20130806,57,-0.08397992801695198,-0.08681544520706075,-0.005477228927883271,0.22218759738236216,49,提前结束(暂时反走),发现太晚
20140220,20140519,59,0.02006688963210701,0.016909298123930494,-0.0032004267235630213,0.26641253706056767,43,中性,发现太晚
20140717,20141107,75,-0.044908819521059296,-0.04786528034893889,0.02884422781598439,0.14431804045676655,60,提前结束(暂时反走),发现太晚
20141208,20150629,135,0.4710376687988629,0.4664841085388276,0.024328095613662448,0.16041237113402063,92,提前结束(暂时反走),发现太晚
20151110,20180402,585,2.205403900460047,2.1954816529689856,0.015884743258219425,0.1252621349291596,439,提前结束(暂时反走),发现太晚
20180523,20180820,62,-0.13322281239191636,-0.135905899466784,0.0009197641075580076,0.18285664673978919,47,提前结束(暂时反走),发现太晚
20190213,20210511,544,1.663822168216642,1.6555763734132376,0.04378708475897608,0.24222535308065019,414,提前结束(暂时反走),发现太晚
20211013,20211115,23,-0.05150802139037425,-0.05444405455415202,0.016525331593824966,0.2213441316700413,16,提前结束(暂时反走),发现太晚
20211213,20220211,38,-0.137883008356546,-0.1405516699115248,0.05433186490455233,0.24149855907780982,25,正确结束,发现太晚
20220506,20220802,61,0.046988697783926,0.04374777049290168,-0.010904632152588523,0.09238037917544406,46,提前结束(暂时反走),发现太晚
20221202,20231020,212,0.025103201799968833,0.02193002051361681,0.022514071294559068,0.20309050772626924,180,提前结束(暂时反走),发现太晚
20250319,20250617,59,-0.12577187571184956,-0.12847802697459354,-0.0022849982493964305,0.15923007750610196,53,中性,发现太晚
20250915,20260508,151,-0.07972733178933156,-0.08257601278455229,-0.004034139066103393,0.12744459764644045,147,正确结束,发现太晚
20260804,20260821,12,-0.057204864968964264,-0.05842918949386544,-0.008591822347550293,0.1575283153138476,11,期末持仓,发现太晚
