date,strat_nav,bench_nav
20160104,1.0,0.9223335684789193
20160105,0.9926942146596945,0.91420258309959
20160106,1.0131907169395438,0.9387394449248401
20160107,0.9258254097770056,0.8642703865219367
20160108,0.9267391292549616,0.8785722858812919
20160111,0.8570098968395675,0.82372400929911
20160112,0.8588070876668432,0.8234530267933629
20160113,0.819736168831257,0.797757900583824
20160114,0.859808525681115,0.8216320621255566
20160115,0.837359713955856,0.7912740899487255
20160118,0.856566015330356,0.8010695870518486
20160119,0.8866082403741039,0.8298850827840302
20160120,0.8760302495503495,0.8211264852073255
20160121,0.8371045934217028,0.789527157944487
20160122,0.8539933847376764,0.8012830289327565
20160125,0.8645538646083943,0.8107392297125992
20160126,0.798475540203603,0.7544769709055885
20160127,0.7945800350365916,0.7484782114621517
20160128,0.7578391934180191,0.7182909371699828
20160129,0.7855356380634915,0.7428811594602537
20160201,0.7750749719566912,0.7322008935332305
20160202,0.8047245801291815,0.7542628674973545
20160203,0.8112675356982446,0.7555231096188394
20160204,0.8249880910439347,0.7698897562766209
20160205,0.8131840553489292,0.7636232711042514
20160215,0.8148180527234946,0.7622963529982016
20160216,0.8507850057193768,0.7915063746828783
20160217,0.8633708505415303,0.8022675343261269
20160218,0.8603913197154744,0.8005326264985859
20160219,0.8661256779688085,0.8027952298711175
20160222,0.8829760835075318,0.8204315070943131
20160223,0.8816533922470133,0.8155097652107407
20160224,0.8852766953593139,0.8206673558697907
20160225,0.8191295904380389,0.7611782056860666
20160226,0.8307975333346272,0.7649376992248373
20160229,0.8015562071321664,0.7295710297529276
20160301,0.82075305009679,0.7449632049865199
20160302,0.8663269785097272,0.7802134670850204
20160303,0.8640377482278595,0.7813507997229391
20160304,0.8471553335658464,0.7672725659283394
20160307,0.8615707656421708,0.7813978117053433
20160308,0.8634586339781389,0.7839709986104897
20160309,0.8404060591006997,0.767138217466386
20160310,0.8238125105422407,0.7543549141166428
20160311,0.8252109972366766,0.7530559321941168
20160314,0.8485799485349276,0.7753360664037374
20160315,0.8420727178239494,0.771442119370764
20160316,0.83768720753597,0.7657778925917237
20160317,0.8601042383443872,0.7863898649130038
20160318,0.886373531016452,0.8097232329935209
20160321,0.9214384498383573,0.8292112905361572
20160322,0.9168532147313192,0.8264201460908398
20160323,0.927239987259166,0.8323574141823599
20160324,0.9122454530532859,0.8194507456921885
20160325,0.9169110283221595,0.8248671218239307
20160328,0.9101545889266007,0.8201511938519209
20160329,0.8925918396381487,0.8059588324007496
20160330,0.9285558645017221,0.831931036299983
20160331,0.9293113433373138,0.8340033028948726
20160401,0.9217738166170275,0.8325318564530002
20160405,0.9493395816997979,0.8512078156038906
20160406,0.9542884939325271,0.8534587847206738
20160407,0.9419134702099009,0.8412943563251678
20160408,0.9339469099944546,0.8342969270418438
20160411,0.9512156844299123,0.8504552358937464
20160412,0.9429653141763694,0.8465123039938737
20160413,0.9543053948891109,0.8586873874750947
20160414,0.9643386591347574,0.8661662347367487
20160415,0.9654332973829046,0.8651763719883361
20160418,0.9537926756712902,0.8533640540580514
20160419,0.9584002109975581,0.8561485524557649
20160420,0.9152238093525228,0.8235240654281892
20160421,0.9026281901844488,0.8166762868067502
20160422,0.9106012504030323,0.8217816629715263
20160425,0.9056642840725337,0.8188544128789962
20160426,0.9172560946508228,0.8266377001136913
20160427,0.9148167671050137,0.8239977788272183
20160428,0.912505914185745,0.8214697399072998
20160429,0.9121057769369009,0.8215872738060704
20160503,0.9369981524713383,0.8424276027889922
20160504,0.9398523530117441,0.8416285097838533
20160505,0.9436725186895323,0.8456169873099898
20160506,0.9078725808824303,0.8150330800510373
20160509,0.8761894076605677,0.7860341144143395
20160510,0.8740280805801977,0.7855300848483413
20160511,0.8694506805016462,0.7833794563763757
20160512,0.8702857875536094,0.7819059717871228
20160513,0.8659443226023456,0.7794800003381919
20160516,0.8815008535613417,0.7904852918899985
20160517,0.8856497133979173,0.788789269738294
20160518,0.8604863884241133,0.7701955688051365
20160519,0.8674235161132564,0.7726105379024819
20160520,0.8739376080567266,0.7791512696452154
20160523,0.8812612601912746,0.7888158775167906
20160524,0.8742341032542441,0.7815842541660143
20160525,0.8703471502916117,0.7796580851353684
20160526,0.8787271462828306,0.782470875855276
20160527,0.8798307279591147,0.7822935642653692
20160530,0.8801638655448052,0.7792992763692517
20160531,0.9118828649568486,0.8081727033675378
20160601,0.918497855238323,0.8115074796679532
20160602,0.9301235568481964,0.8171121568098776
20160603,0.9272899875595545,0.8204456694454825
20160606,0.9343982320891765,0.8215575987785487
20160607,0.9368715678214607,0.8217654220834676
20160608,0.934088761797932,0.8193221597116926
20160613,0.8945853072231259,0.7852561666288971
20160614,0.8969580729552972,0.7871375599163033
20160615,0.9323443451705402,0.8074707307347152
20160616,0.9417876135420603,0.8043390013264089
20160617,0.9438303124200949,0.8096274722135716
20160620,0.9434597413892459,0.8104002923849011
20160621,0.932017256848397,0.8047650101888868
20160622,0.9461354390883407,0.8154933913006006
20160623,0.9374296904528404,0.8124795039951367
20160624,0.9322979805466025,0.8035548632330377
20160627,0.9490332298785211,0.8200364250821511
20160628,0.9584953479731567,0.8264608859591035
20160629,0.9639322859952856,0.829719887299466
20160630,0.9607118989667836,0.8308862442446813
20160701,0.9611064642340402,0.8307794786217196
20160704,0.9724870562392662,0.8464274113778226
20160705,0.9706525127440433,0.8508090178119325
20160706,0.9708953402513038,0.8543878384390424
20160707,0.9694409532015008,0.8542632695623069
20160708,0.9653239775714277,0.8510386129584336
20160711,0.9605614897749705,0.8509795529140106
20160712,0.9763124690572813,0.8638220208179892
20160713,0.9819218212900538,0.8688511272976102
20160714,0.982692466966654,0.8691682137898921
20160715,0.9811775591723678,0.8681832966294492
20160718,0.9811775591723678,0.8643722312628785
20160719,0.9811775591723678,0.8654798967300296
20160720,0.9811775591723678,0.8644794485326129
20160721,0.9811775591723678,0.8670842343168381
20160722,0.9811775591723678,0.8595725885257532
20160725,0.9811775591723678,0.8606724780708267
20160726,0.9811775591723678,0.8712745102819289
20160727,0.9811775591723678,0.8414580849556197
20160728,0.9811775591723678,0.8432067027539064
20160729,0.9811775591723678,0.8376191574363575
20160801,0.9648518330009579,0.8261187280843973
20160802,0.9717549311360247,0.8330949912639064
20160803,0.9752075126890668,0.8366344029455959
20160804,0.9789405477415886,0.840559398129507
20160805,0.975135432054887,0.8375978596255734
20160808,0.9839435574492776,0.8480259996289519
20160809,0.9946318840698821,0.8559106401246387
20160810,0.9913261225356301,0.8536263399977767
20160811,0.9791618239718309,0.8436006955885849
20160812,0.9892518842726041,0.8534522042876307
20160815,1.0084670667092188,0.8725884070164143
20160816,1.0035287077955055,0.8765364811965058
20160817,1.0045369226920349,0.8795668355784271
20160818,1.0008354541452857,0.8791413377386459
20160819,1.0022384450464619,0.880539882179815
20160822,0.9951552899439603,0.8710294582625858
20160823,0.9977419476741031,0.8728977197668094
20160824,0.9980787957647773,0.8736866108761606
20160825,0.9921634470656773,0.8683187351166515
20160826,0.9944306810380736,0.8707695743525549
20160829,1.000813783093394,0.8728813013875016
20160830,0.9998665204461343,0.8732267764200133
20160831,0.9990601147257148,0.8747153652982708
20160901,0.9953825039404052,0.8682711590962113
20160902,0.9927635198764774,0.8674211768618034
20160905,1.001842251476085,0.8721297828821831
20160906,1.0281702934499977,0.8837579482610571
20160907,1.0311263421524262,0.8839142769845073
