date,nav_2f,nav_7f,nav_7f_wf,nav_bench_tr,ret_2f,ret_7f,ret_7f_wf,ret_bench_tr
20181031,1.0920850596158964,1.0833372712181721,1.0833372712181721,1.0,0.09208505961589633,0.08333727121817215,0.08333727121817215,0.0
20181130,1.0480416890596218,1.0605912570110771,1.0605912570110771,1.0,-0.04032961550793981,-0.020996244485817352,-0.020996244485817352,0.0
20181228,1.0122002952468123,1.0584050233471753,1.0584050233471753,1.0,-0.03419844285485335,-0.002061334797406355,-0.002061334797406355,0.0
20190131,1.3243321999134834,1.2704100705216927,1.2704100705216927,1.1479266505219894,0.3083697032419474,0.20030616115563907,0.20030616115563907,0.1479266505219894
20190228,1.4597919563786146,1.420201773183039,1.420201773183039,1.2135286458598382,0.10228533027738852,0.11790815118447114,0.11790815118447114,0.057148246630582156
20190329,1.4233505666860153,1.3960181363726984,1.3960181363726984,1.228561377867181,-0.024963413131143263,-0.017028310530931547,-0.017028310530931547,0.012387620233464958
20190430,1.3986021129725612,1.3609602153138904,1.3609602153138904,1.1418328614502598,-0.017387461875310123,-0.025112797710422047,-0.025112797710422047,-0.07059355599106043
20190531,1.4370614811102103,1.4022599333209138,1.4022599333209138,1.2055189402064528,0.027498434172895818,0.030346014190795367,0.030346014190795367,0.05577530732063907
20190628,1.4142076255841207,1.3833720086442285,1.3833720086442285,1.2108082845240309,-0.01590318565106462,-0.013469631576760399,-0.013469631576760399,0.004387607810352856
20190731,1.4805424389949269,1.388518687327478,1.388518687327478,1.2017348253230717,0.046905993300246446,0.003720386599620008,0.003720386599620008,-0.0074937207788645654
20190830,1.5902410094227388,1.4400597417024223,1.4400597417024223,1.2086638365368632,0.0740934994759632,0.03711945315921322,0.03711945315921322,0.0057658404065377145
20190930,1.5886691503617103,1.4205812111990228,1.4205812111990228,1.2337643785104861,-0.0009884407782937972,-0.013526196128760826,-0.013526196128760826,0.020767182085585256
20191031,1.5290423578858536,1.3762604158318095,1.3762604158318095,1.217589641556824,-0.037532542544985344,-0.031199057834789216,-0.031199057834789216,-0.01311006966596806
20191129,1.6623657408732662,1.4885645101725187,1.4885645101725187,1.3050228117814153,0.08719404161684151,0.08160090419576066,0.08160090419576066,0.07180840509845199
20191231,1.808350768187602,1.520788018014064,1.520788018014064,1.2778906046143026,0.08781763466663345,0.021647370753055877,0.021647370753055877,-0.02079059992068344
20200123,1.8818308769846928,1.5182989937329314,1.5832048967580732,1.2598541529913565,0.04063376978059134,-0.0016366674721589917,0.04104245825497556,-0.01411423760204411
20200228,1.6781928878808734,1.4829648035792897,1.4771811763879172,1.1809798575384807,-0.10821269413440267,-0.023272221281506723,-0.06696778198909088,-0.0626058939168469
20200331,1.7474804907393304,1.4656636876948455,1.487649292163024,1.255686682389795,0.04128703163910409,-0.011666572155108629,0.007086548314069428,0.06325833956814964
20200430,1.7537868233646856,1.4688998399665105,1.4549596267328253,1.2433688583540576,0.003608814323693586,0.0022079773817380785,-0.021974040254251176,-0.009809631820172138
20200529,1.8920854046980309,1.57719197173463,1.5955920085048545,1.3411240222977359,0.07885712190950096,0.07372329196426936,0.09665723995917694,0.07862120985809806
20200630,2.0644199596413206,1.8117545695952308,1.7448742409934963,1.5146331117516987,0.09108180556511049,0.14872165346024674,0.09355915026706998,0.12937587170848763
20200731,2.1572108006012547,1.8721882657558253,1.8374593845066114,1.5564993800282452,0.04494765734393283,0.03335644748730852,0.05306121285875539,0.02764119439335877
20200831,2.0566662534795017,1.7699193735886978,1.7313730783712142,1.4854031560071927,-0.04660858692795792,-0.05462532483389985,-0.05773532031777845,-0.045677001181820165
20200930,2.0223156065151255,1.7684072052531958,1.7300391728643596,1.5230769886702618,-0.016702100744961017,-0.0008543713109574931,-0.000770432163649785,0.025362698679284756
20201030,2.0102111858959164,1.8527384035481638,1.7722348603671887,1.6118036898995918,-0.0059854261027374915,0.047687658161793996,0.024390018541006326,0.05825490233871489
20201130,1.9235360037789442,1.75028074558246,1.6671458049955026,1.6963314798607847,-0.04311745090521056,-0.05530066077838504,-0.05929747671813248,0.052442980799019434
20201231,1.7586059564724639,1.574330792752745,1.5004430852032817,1.745233032116985,-0.0857431558247216,-0.10052670308680232,-0.09999288562086545,0.028827828072974127
20210129,1.75815253751217,1.6282837615149015,1.538539210377241,1.7434748205240145,-0.00025782862762695923,0.03427041445833554,0.025389916851659748,-0.0010074365775886163
20210226,1.7050686482264201,1.6450311400360718,1.538902299499857,1.6524532756380783,-0.030192994153320125,0.010285294809787305,0.00023599601502952822,-0.052206974149806684
20210331,1.713322304397503,1.643136649724916,1.5255962430400614,1.6800741234147045,0.00484065916036177,-0.0011516440418958603,-0.008646459534253734,0.016715055235652976
20210430,1.8571803314379833,1.7286562931150224,1.592893703300303,1.7513872215809196,0.08396436950085034,0.05204658018213128,0.044112235178383565,0.04244639993697019
20210531,1.9838220404516975,1.7900606223185074,1.6038830628266227,1.7192756265134805,0.06819031349295938,0.03552142172394193,0.006898991127625805,-0.018334948817573915
20210630,1.9345761224673241,1.7337190631290385,1.518615164427887,1.5865481647969957,-0.02482375786749519,-0.031474665431439265,-0.053163413452638385,-0.07719964133129886
20210730,2.0472763469567985,1.8228143260205478,1.5914454352470921,1.5876234831953684,0.05825577147397983,0.05138967713183531,0.047958345554018386,0.0006777722997841629
20210831,2.06293722281532,1.827253270746501,1.6131887174379504,1.610611529046898,0.007649615002781992,0.0024352149654452283,0.013662599866317387,0.014479532518165028
20210930,2.0090750035449387,1.7342982315789064,1.5379363103168187,1.627593176025234,-0.026109480538082028,-0.05087145862905974,-0.04664823545297726,0.010543602024496224
20211029,2.265346094839517,1.8720280416864823,1.6158116612884648,1.6051311764003386,0.12755675663795407,0.07941529755363154,0.050636265266149755,-0.013800745761142874
20211130,2.3826116245722893,2.0053678507432626,1.7291492193787814,1.644065368324815,0.051764951059753796,0.07122746352488216,0.07014280241048651,0.024256081058614765
20211231,2.224614367716006,1.9107899477032757,1.6559450753432732,1.521753502173721,-0.06631263577614997,-0.047162371235248926,-0.042335353834764965,-0.07439598723238183
20220128,2.2403738206595842,2.0103894070320787,1.7509056532869962,1.5305032934940135,0.007084128005411703,0.052124755757962486,0.05734524614232028,0.005749808564786685
20220228,1.9796878057695226,1.970768161232569,1.6265547214067602,1.4133685132133775,-0.11635826685981969,-0.019708244413206573,-0.07102092088559463,-0.07653350422606853
20220331,1.6233936297151814,1.702399344416673,1.362395954650867,1.3468892082486588,-0.17997493090373728,-0.13617472724343754,-0.16240386092109443,-0.04703607328394077
20220429,1.739879126503457,1.8656530465546637,1.4655313908386467,1.3746033149348524,0.07175431433022976,0.09589624354204014,0.07570151381887331,0.020576381870510252
20220531,1.888298664719153,1.960854614008155,1.5565602436096595,1.5093230373903523,0.08530451107483936,0.051028548758999835,0.06211320572186571,0.09800625459853829
20220630,1.9294554303046914,2.0043197646243205,1.585993376435699,1.4061150765779242,0.02179568643165853,0.022166432077959482,0.018909086845096516,-0.0683802991511192
20220729,1.8765525389341156,1.930338896842331,1.5164664306338977,1.3779204562407183,-0.027418560978224645,-0.036910711098962774,-0.043838106031724805,-0.020051431640874973
20220831,1.7030407068346964,1.7570501341598228,1.3705533352133243,1.287898752115863,-0.09246308243411831,-0.08977116037291463,-0.0962191397534467,-0.06533156810114804
20220930,2.0231342610135647,1.8603673407444692,1.5635089215157718,1.1900066019404083,0.18795414160933369,0.058801513158900386,0.1407866307314587,-0.0760091971629211
20221031,2.173009148681663,2.0602136297861886,1.7289909866710669,1.308971780355147,0.0740805445077149,0.10742302590720942,0.10584017966131312,0.09997018354415488
20221130,2.063013269929056,1.995095599724157,1.612947525523944,1.3176895246529994,-0.050619151244411326,-0.031607416396322745,-0.06711629039232209,0.006659994072207631
20221230,2.2933649798472997,2.1216915547703628,1.7566824326151222,1.41717972722135,0.11165789056032828,0.06345357839679916,0.08911319482913005,0.07550352393865345
20230131,2.4041875185072135,2.248120074697995,1.8167365650809042,1.3899812891948267,0.048323114564735675,0.0595885484124086,0.034186106350697076,-0.019191946867495036
