trial,total,ann,sharpe,mdd,n_A,n_G,has_cashbond,eq_total
0,0.13180218559056778,0.017842903423033407,0.09696607745032898,-0.2717949671361508,3,7,True,0.6853672833539304
1,0.13896860028203206,0.018761016390624663,0.1082154652030407,-0.3834281515511429,4,6,True,1.0800312467676214
2,-0.4746536347877981,-0.08784723156763063,-0.36015135876190046,-0.5305987953165155,5,5,True,0.6748709397609813
3,0.9154576369656988,0.09728819673767974,0.5072826967769452,-0.2717949671361507,4,6,True,1.1764338959471305
4,-0.44038429401956614,-0.07957630175470898,-0.33680610933376093,-0.5503844063988726,5,5,True,0.9461753735164844
5,-0.05542230591909725,-0.008111460445331176,-0.027192368452179306,-0.3660185980696,5,5,True,0.8599790893227899
6,0.4263190034737627,0.05203163317466797,0.2869646488644697,-0.25750497514764775,4,6,True,0.8251376148118206
7,-0.13473611864010093,-0.02046016331210887,-0.08097518796536404,-0.3745758263551701,3,7,True,0.6993792567815145
8,1.079365544244495,0.1102333050838975,0.5624154405520088,-0.2660629278667599,8,2,False,0.9122510220522668
9,0.025975799458540783,0.0036698104605616955,0.015440073777549091,-0.3227298438437004,4,6,True,0.40277310374025577
10,-0.31491466060503037,-0.05259156375628382,-0.26445294334045677,-0.4426256685079034,4,6,True,0.5642638303527034
11,0.38849843712253285,0.0480008549080253,0.2944775926114849,-0.2089917999171919,5,5,True,0.9660277151237344
12,0.3613107748065929,0.045044739714773296,0.2471915444706739,-0.19689054002402034,4,6,True,0.8979316606748922
13,0.20830424650186363,0.02739707252153245,0.1517949488492256,-0.32542096914067514,6,4,True,0.929289551700933
14,-0.3126821196747085,-0.05215116534379238,-0.28751072464795135,-0.4134991631469938,3,7,True,0.8768394141036162
15,-0.22004897228528575,-0.0348772447909661,-0.19937426794112217,-0.405419213814922,5,5,True,0.6103888552932424
16,-0.23757874661238787,-0.038006009861372925,-0.21204886952304006,-0.3330644343098598,5,5,True,0.783829127067049
17,0.21677529007607377,0.028422859609539275,0.16870238769135906,-0.3891608982667261,4,6,True,0.7021069243402429
18,-0.016658474169647053,-0.0023967153613554393,-0.010806994822523579,-0.3275395778060474,5,5,True,0.6175160162637232
19,-0.4351524511241366,-0.07835202806571229,-0.49456852738609575,-0.474264256769863,3,7,True,0.7976208198690504
20,-0.3993070665000503,-0.0702160962790509,-0.44264231121568376,-0.4797249413281391,4,6,True,1.1327502210268623
21,-0.29906663803853617,-0.04949156717563552,-0.2896996200468273,-0.3715399347379157,3,7,True,0.9399076918574516
22,-0.09278114556747663,-0.013812581954736447,-0.050485372109377515,-0.3893162126100161,6,4,True,0.43388547220248763
23,-0.1745947619276189,-0.027036650504934645,-0.07605678747544528,-0.5511803848953932,6,4,True,0.5726146209363074
24,0.05231528007454411,0.007310561154637574,0.019507975035121562,-0.33168098588439626,4,6,True,0.3396691512123897
25,-0.09603959851948574,-0.014319325043862019,-0.021745993392056222,-0.37239817239893647,4,6,False,0.7732525594090789
26,-0.05729370322643368,-0.008392404430713096,0.017073239490030145,-0.4484374081204932,5,5,True,0.6623685914874511
27,-0.2042645983099176,-0.03211115830594202,-0.1855129105611912,-0.4062982956558214,4,6,True,0.3560985568934598
28,0.5023638241572477,0.05986638739579209,0.3127932303979246,-0.2788476893712162,7,3,False,1.0238640643679942
29,0.08838700507021069,0.012171839385010319,0.06982328821631123,-0.3684866754581156,6,4,True,0.5187931755560353
30,-0.4956584366923691,-0.0931483224247599,-0.38801426435263514,-0.5493667548400595,3,7,True,0.8583906295227921
