window,topn,ann,mdd,sharpe,total
17,2,4.659722567682034,-64.73037095713634,0.2899773918760577,77.99424159067843
17,3,3.7253830498831464,-62.26487228595835,0.267795590605685,58.891941665093526
17,4,5.076070750664274,-57.50944303336056,0.3141405742765009,87.16928804514814
17,5,5.257377700113008,-54.68661305273417,0.3273927746851651,91.29925297410308
26,2,1.9775413071365655,-72.90515055339993,0.2499828561866674,28.134454145418353
26,3,-0.37052290908820007,-59.69321228894257,0.17799599476763303,-4.590750543020816
26,4,1.752695550380312,-53.604798281904124,0.21772664723860638,24.603442972815227
26,5,4.66841617875704,-53.01541527410336,0.3009047016888816,78.18150999322293
34,2,-1.9588685688656016,-67.4236739144616,0.15569657313474364,-22.1549878227693
34,3,1.0446105297600816,-53.272092543291464,0.21611304876257748,14.060620519806989
34,4,2.292738949470108,-49.97723450256204,0.2330983939222658,33.239657585766345
34,5,4.544925547150136,-48.44263072160686,0.29670437428848084,75.53834881981803
43,2,-2.4081425347565077,-67.42375933491954,0.22791652753397112,-26.552358014107547
43,3,-0.1662764783241344,-58.72351102132451,0.19947178811876007,-2.084745020045975
43,4,-0.8116888317856508,-57.8270930936178,0.15200651841971677,-9.80332942868165
43,5,0.7417328522659083,-56.549228192856006,0.1870515935512371,9.807156706027298
51,2,-3.1706016313431173,-71.39378470317546,0.21672525650333532,-33.49503554368313
51,3,-0.7434232999697366,-62.823147125660824,0.18833250949008845,-9.014283265410816
51,4,-0.2563306190044412,-59.88886640476967,0.16949960844928516,-3.197044711769881
51,5,0.5510334872823597,-55.311575964149704,0.17704441370178703,7.204534578903732
