区间,等权年化%,等权回撤%,等权夏普,风险平价年化%,风险平价回撤%,风险平价夏普,ERC年化差pp,ERC回撤改善pp,ERC夏普差,收益胜,回撤胜,夏普胜
2014-2018,3.82,-47.47,0.279,4.07,-47.26,0.283,0.25,0.21,0.004,✅,✅,✅
2019-2021,22.03,-40.23,0.609,20.58,-30.96,0.65,-1.45,9.27,0.041,❌,✅,✅
2022-2026,-13.96,-53.27,-0.15,-12.41,-49.81,-0.168,1.55,3.46,-0.018,✅,✅,❌
