pair,start,end,div_cum,broad_cum,excess_cum,excess_ann
红利低波100-沪深300,2010-01-04,2015-03-18,0.6856389102299782,0.1979042495104355,0.48773466071954275,0.047873320251397455
红利低波100-沪深300,2010-01-05,2015-03-19,0.6817370762927024,0.18626962179104223,0.4954674545016602,0.04876099718333693
红利低波100-沪深300,2010-01-06,2015-03-20,0.6951929008549145,0.2101685801207731,0.48502432073414137,0.04743553886793683
红利低波100-沪深300,2010-01-07,2015-03-23,0.7656761603883933,0.25987755338105245,0.5057986070073408,0.04852267353346318
红利低波100-沪深300,2010-01-08,2015-03-24,0.7595956637149694,0.25704902387142115,0.5025466398435483,0.04827808310520343
红利低波100-沪深300,2010-01-11,2015-03-25,0.7399835013610256,0.24603534159570395,0.4939481597653217,0.04768253462033489
红利低波100-沪深300,2010-01-12,2015-03-26,0.7082989501822325,0.23038722089108754,0.477911729291145,0.04648280905449709
红利低波100-沪深300,2010-01-13,2015-03-27,0.7412620673122008,0.27828813136344777,0.462973935948753,0.04443943424417762
红利低波100-沪深300,2010-01-14,2015-03-30,0.747707379838084,0.2976070255797576,0.4501003542583264,0.04302144890370796
红利低波100-沪深300,2010-01-15,2015-03-31,0.7215721457297579,0.2808177620827661,0.4407543836469918,0.04241508676870409
红利低波100-沪深300,2010-01-18,2015-04-01,0.7247989414879503,0.2971156141319695,0.4276833273559808,0.04102410267921863
红利低波100-沪深300,2010-01-19,2015-04-02,0.7513463365528661,0.29487801108472245,0.45646832546814364,0.04362617694159798
红利低波100-沪深300,2010-01-20,2015-04-03,0.8330646930306165,0.3528464732674612,0.48021821976315526,0.044908598761799645
红利低波100-沪深300,2010-01-21,2015-04-07,0.8749438037886514,0.3761415711465612,0.4988022326420902,0.04618778361734854
红利低波100-沪深300,2010-01-22,2015-04-08,0.8984327879196565,0.405169565755795,0.49326322216386154,0.045308615113200945
红利低波100-沪深300,2010-01-25,2015-04-09,0.8902857543423575,0.4112551128242341,0.47903064151812336,0.0440098054949325
