month,long,longshort,benchmark
2017-12,0.869863461269631,0.9126156187021315,1.04611668656358
2018-01,0.8725186986225566,0.9043320058101127,0.9913565309790814
2018-02,0.8667737773697318,0.9485640660957102,0.9544872273781686
2018-03,0.8296340644922272,0.9320656387269116,0.9225534996593826
2018-04,0.8367797090179517,0.8900005390222565,0.9320470364005518
2018-05,0.7426269218013367,0.8219623243817036,0.8678757115362352
2018-06,0.7573192332678164,0.8127283979859373,0.8958102484070624
2018-07,0.7184265219328146,0.8124318750208472,0.8664769747225578
2018-08,0.7090078457701278,0.7930198105201679,0.8970061440421515
2018-09,0.6309086331674223,0.7708883328703604,0.8596432582563488
2018-10,0.704063459060263,0.8726499366716816,0.8584679108662097
2018-11,0.6548355908591346,0.891423857104072,0.7925755831333559
2018-12,0.6688910231284083,0.9153355416714777,0.8545230027107452
2019-01,0.7670142077474064,0.8942782010879348,0.965561411264926
2019-02,0.8152488809685673,0.8913576411529006,0.9971381643586331
2019-03,0.778608946407416,0.8964827997448653,0.981903052417661
2019-04,0.7664386880641888,0.8547850370031188,0.9672922278655857
2019-05,0.7763744867566743,0.8308114031711725,1.0188457937691933
2019-06,0.7306290179026168,0.8230923161346954,0.9928420564795938
2019-07,0.6927209594656772,0.7770199735526422,0.9918284279778065
2019-08,0.6935826639564939,0.7866553141910847,0.983119310428154
2019-09,0.6722917039822361,0.7625117714986522,0.995690558841493
2019-10,0.6302768698382873,0.7658120941764968,0.9645237109699156
2019-11,0.6835014376519936,0.7227648590398843,1.030028649816855
2019-12,0.6727365242219531,0.7309463814331444,0.9932307032961457
2020-01,0.7294731534469736,0.7205799170993425,1.0610080835013171
2020-02,0.6757097265637616,0.7373392825943964,0.9610223949422697
2020-03,0.6958038092307406,0.7213032174161088,1.0231283695265605
2020-04,0.7328608811288492,0.7950515302062221,1.0051336224874574
2020-05,0.7342740941968765,0.7766896580185307,1.053886020061257
2020-06,0.8044916113423379,0.7651918120123986,1.1648530471766578
2020-07,0.8292540586539973,0.7859519641825574,1.175815892786494
2020-08,0.7363676364861559,0.7812286321384403,1.1139603599508558
2020-09,0.6739608493161849,0.7659353266435525,1.1173377401940834
2020-10,0.6997232863644837,0.705232744698731,1.1740043853588686
2020-11,0.689754617652573,0.7316399071553956,1.2074120512661537
2020-12,0.6320180467016698,0.7264709695342023,1.2267221657115328
2021-01,0.6509513952752236,0.6673001177695159,1.208406748790237
2021-02,0.6418194938335847,0.6864259317778423,1.1258011904419447
2021-03,0.6325054376923471,0.6428413196060303,1.128601432059449
2021-04,0.6798606132342615,0.6874708934545146,1.1889091455022571
2021-05,0.6987829019093231,0.6705834603012634,1.1627260251314122
2021-06,0.6516280367540649,0.6005090411109951,1.0696809154531344
2021-07,0.6663703268992327,0.5760362729577572,1.041901957693449
2021-08,0.6692356311772242,0.613388877677203,1.0412437747598795
2021-09,0.6494646406663387,0.6041854835759,1.0367723289243551
2021-10,0.6629886219741554,0.5226908881887558,1.0243372343566008
2021-11,0.6866314437645904,0.5316959759192939,1.0447489658148432
2021-12,0.6992318656934846,0.5380766481678805,1.0244825878641797
