factor,direction,ic_dir_mean,ic_ir,ic_pos,long_ann_ret,ls_ann_ret,bench_ann_ret,long_mdd,ls_mdd,long_sharpe,ls_sharpe,signal
reversal,asc,0.03746520468530329,0.2611976217502522,0.5918367346938775,-0.2792453240247457,-0.03987987399115312,0.019548024736253403,-0.7575479126691418,-0.4429341171775598,-0.243914397614773,-0.03814431585051554,✅
low_vol,asc,0.005128896639175307,0.11468312581008812,0.5306122448979592,0.15117032828573626,0.09471563066287092,0.019548024736253403,-0.40077281521660535,-0.20902848687108036,0.13651216288768056,0.12426919027430453,❌
momentum,desc,0.002481691334348797,0.012514643417005403,0.4897959183673469,-0.0014816289004710675,0.07026424188019725,0.019548024736253403,-0.4220185966180024,-0.5302854968715572,-0.0012803341674733194,0.05320945560239301,❌
apb5d,asc,-0.009319508189240803,-0.3840342227855795,0.30612244897959184,-0.06502377849208152,-0.13638923386836008,0.019548024736253403,-0.27763511448716904,-0.44896617226904717,-0.08824318531451536,-0.23015402127676354,❌
