month,long,longshort,benchmark
2017-12,1.0130353045094525,0.9986013934076552,1.04611668656358
2018-01,0.972138210813677,0.9139819546215957,0.9913565309790814
2018-02,0.9812528698796809,0.9413053100214549,0.9544872273781686
2018-03,0.925983667468166,0.943532243817567,0.9225534996593826
2018-04,0.9437650172297049,0.9757149646578875,0.9320470364005518
2018-05,0.7876201722593315,0.8633516565198502,0.8678757115362352
2018-06,0.7459754043239111,0.7898652551563006,0.8958102484070624
2018-07,0.7210947740943066,0.8150910315349875,0.8664769747225578
2018-08,0.6990790373479056,0.8013778809485347,0.8970061440421515
2018-09,0.6215492293971688,0.7907122454723706,0.8596432582563488
2018-10,0.6553946345428595,0.8329922046955882,0.8584679108662097
2018-11,0.619632725566723,0.8716630474054271,0.7925755831333559
2018-12,0.6070382936073881,0.8867552697011033,0.8545230027107452
2019-01,0.7130469999261928,0.8784065950612846,0.965561411264926
2019-02,0.7882177977949735,0.896902743906817,0.9971381643586331
2019-03,0.7206343165150945,0.8795789530123038,0.981903052417661
2019-04,0.7708725199712754,0.9514153651044277,0.9672922278655857
2019-05,0.810440284508059,0.9932792513494422,1.0188457937691933
2019-06,0.7862497059165068,0.9690230031281194,0.9928420564795938
2019-07,0.7694076469165138,0.938612146060137,0.9918284279778065
2019-08,0.7323218718972557,0.9627967115275682,0.983119310428154
2019-09,0.7268137945451002,0.9737197908424652,0.995690558841493
2019-10,0.6942105779879267,0.9399930699427463,0.9645237109699156
2019-11,0.7729245460597713,0.9343144888494603,1.030028649816855
2019-12,0.7835482362963381,0.9579894191699969,0.9932307032961457
2020-01,0.9178660517175165,0.9568764794552012,1.0610080835013171
2020-02,0.8620733880062336,0.9750769681520713,0.9610223949422697
2020-03,0.8929316819857132,0.9799697807585046,1.0231283695265605
2020-04,0.9109346459264794,1.0136503315296959,1.0051336224874574
2020-05,0.8849311186900015,0.9706823539946542,1.053886020061257
2020-06,1.2490249476145543,1.260909929849569,1.1648530471766578
2020-07,1.2464388076099484,1.3163326851399353,1.175815892786494
2020-08,1.13709619406945,1.2511177919720402,1.1139603599508558
2020-09,1.0589871414886953,1.2859695367124468,1.1173377401940834
2020-10,1.130000937658753,1.1813427050186431,1.1740043853588686
2020-11,1.1257345296096597,1.1532343309250865,1.2074120512661537
2020-12,1.1569207092825997,1.2250067327873786,1.2267221657115328
2021-01,1.2459061824874942,1.2449707419642566,1.208406748790237
2021-02,1.1727735910804544,1.2269764311870963,1.1258011904419447
2021-03,1.1849553711006353,1.2736055522543785,1.128601432059449
2021-04,1.3487205392817125,1.4051438351305836,1.1889091455022571
2021-05,1.321723684250513,1.3952929995512635,1.1627260251314122
2021-06,1.4984016124096466,1.4174636417489481,1.0696809154531344
2021-07,1.5038530720406038,1.2594998629329255,1.041901957693449
2021-08,1.4356911634809062,1.2367915689608806,1.0412437747598795
2021-09,1.3436789447374902,1.2376516006846643,1.0367723289243551
2021-10,1.440350948106463,1.3705817892575445,1.0243372343566008
2021-11,1.5341664222038636,1.3621647673704622,1.0447489658148432
2021-12,1.5364964304251347,1.3432635308203795,1.0244825878641797
