month,long,longshort,benchmark
2017-12,1.0403086577089156,1.0959193613358482,1.04611668656358
2018-01,1.0641194550846877,1.107886946002285,0.9913565309790814
2018-02,0.995223011731217,0.848974712546129,0.9544872273781686
2018-03,0.9142895774169061,0.861924889786185,0.9225534996593826
2018-04,0.913684671833914,0.9209011482336674,0.9320470364005518
2018-05,0.8927860191466966,1.0492613256778387,0.8678757115362352
2018-06,0.890665578511538,1.0675573977982973,0.8958102484070624
2018-07,0.828336290557815,1.0338019375269147,0.8664769747225578
2018-08,0.8086183620083511,0.9633120524168519,0.8970061440421515
2018-09,0.6708240944212414,0.8706026078241023,0.8596432582563488
2018-10,0.6875642965171668,0.7826858862779905,0.8584679108662097
2018-11,0.6150412560159344,0.7486003181464429,0.7925755831333559
2018-12,0.6380298759070291,0.8640786303499668,0.8545230027107452
2019-01,0.804175545551749,0.8523353143718296,0.965561411264926
2019-02,0.903527725740345,0.9149691044510982,0.9971381643586331
2019-03,0.9073470088637998,1.028173686526786,0.981903052417661
2019-04,0.8990596658544385,1.1674162103281294,0.9672922278655857
2019-05,0.8733310347814348,1.083589781046995,1.0188457937691933
2019-06,0.9121354691754322,1.2373614639599073,0.9928420564795938
2019-07,0.9406195126500855,1.3696194634136412,0.9918284279778065
2019-08,0.8872792267999627,1.3513807499273425,0.983119310428154
2019-09,0.9423267745664863,1.512507695005394,0.995690558841493
2019-10,0.8950296609660054,1.421690395236816,0.9645237109699156
2019-11,0.9315903008828669,1.2647595881201148,1.030028649816855
2019-12,0.9023295659492538,1.3220698014626469,0.9932307032961457
2020-01,1.061065062241092,1.5557092587746881,1.0610080835013171
2020-02,0.8348925755591216,1.3969630205228916,0.9610223949422697
2020-03,0.9424875333214068,1.7973432415238346,1.0231283695265605
2020-04,0.8660556511636816,1.8132625335795645,1.0051336224874574
2020-05,0.9339549822268277,2.0372816093313273,1.053886020061257
2020-06,1.0792890164419469,2.125936444770086,1.1648530471766578
2020-07,1.0172239353446808,1.8279323724201233,1.175815892786494
2020-08,0.9484765353410043,1.8059090391311354,1.1139603599508558
2020-09,0.8991394755966123,1.7511376482525594,1.1173377401940834
2020-10,0.8862669826090821,1.6410505997767801,1.1740043853588686
2020-11,0.9413703911988551,1.9035161019378355,1.2074120512661537
2020-12,0.9018436025576811,1.95796837768007,1.2267221657115328
2021-01,0.870273233761385,1.6799127066771744,1.208406748790237
2021-02,0.744740166616751,1.408258022471854,1.1258011904419447
2021-03,0.8243145265848566,1.6333416680640656,1.128601432059449
2021-04,0.9418973505511378,1.7843435849847495,1.1889091455022571
2021-05,1.08035059786614,1.7606129914326807,1.1627260251314122
2021-06,1.0079781354771742,1.5468673286825247,1.0696809154531344
2021-07,1.0867251943664102,1.548356368047456,1.041901957693449
2021-08,1.0096920306238457,1.4465051416144006,1.0412437747598795
2021-09,1.0568890125817594,1.4496604942382687,1.0367723289243551
2021-10,1.099239000073027,1.3434364697178958,1.0243372343566008
2021-11,0.9187233409215632,1.1746815728716042,1.0447489658148432
2021-12,0.7956230518535297,0.9985831808378289,1.0244825878641797
