month,year,long_ret,short_ret,longshort_ret,bench_ret,ic,ic_signed,long_cost,short_cost,N_long,N_short
2017-12,2017,0.0130353045094524,0.014433911101797158,-0.0013986065923447585,0.04611668656357997,-0.04913814708976964,0.04913814708976964,0.004114438409532912,0.00419628237432112,10,10
2018-01,2018,-0.040370847406526716,0.04436710644040489,-0.08473795384693161,-0.052346125712210874,-0.03423685220026484,0.03423685220026484,0.004041871178925256,0.00413943672026099,10,10
2018-02,2018,0.009375888083212944,-0.02051896406534138,0.02989485214855432,-0.03719076078966261,0.07971303239382778,-0.07971303239382778,0.0041077859843837786,0.003991988089785091,10,10
2018-03,2018,-0.05632513708550157,-0.05869093038593593,0.002365793300434363,-0.03345642225774257,0.027294144012402502,-0.027294144012402502,0.003979235288387988,0.00393299314213387,10,10
2018-04,2018,0.01920266024794662,-0.014906106093845954,0.03410876634179258,0.010290499948972373,-0.07402331600438132,0.07402331600438132,0.004115638603015184,0.004078958509125851,10,10
2018-05,2018,-0.16544885868806158,-0.05028888655682038,-0.11515997213124121,-0.06884987812647103,0.008697638789141869,-0.008697638789141869,0.0037016015592434078,0.003972549188926589,10,10
2018-06,2018,-0.05287417641419739,0.032243400888858374,-0.08511757730305576,0.032187255040678604,-0.08932899857913001,0.08932899857913001,0.004050483641264748,0.004134760983691834,10,10
2018-07,2018,-0.03335315090201161,-0.06528996064773866,0.03193680974572705,-0.03274496327393586,-0.04453080665347797,0.04453080665347797,0.003990104541782182,0.0039375336417813095,10,10
2018-08,2018,-0.03053098918107226,-0.013706916708298081,-0.016824072472774176,0.03523367638172855,0.02972847884853072,-0.02972847884853072,0.004007733829834436,0.00403882412396642,10,10
2018-09,2018,-0.11090277895452473,-0.09759365759028152,-0.013309121364243212,-0.04165287610788874,-0.002369562755185751,0.002369562755185751,0.003821414285891593,0.0038601065343357357,10,10
2018-10,2018,0.0544532975747018,0.0009825698032359168,0.05347072777146588,-0.0013672501690098799,-0.07235475289483086,0.07235475289483086,0.004166612105962058,0.004085084901418872,10,10
2018-11,2018,-0.054565458872089447,-0.10098947399714192,0.046424015125052474,-0.07675572598440789,-0.025218131273728524,0.025218131273728524,0.003967613614285701,0.0038555164770998026,10,10
2018-12,2018,-0.020325640399021593,-0.037639925248653956,0.017314284849632364,0.0781596366273201,0.00016689345055071053,-0.00016689345055071053,0.00400114490770577,0.0040364903014153105,10,10
2019-01,2019,0.17463265074899467,0.18404750840485362,-0.00941485765585895,0.12994197722231132,-0.007296125360623837,0.007296125360623837,0.004487601295366795,0.0044413142017138574,10,10
2019-02,2019,0.10542193975510944,0.08436546209485019,0.021056477660259254,0.032702998199089395,-0.05301218201419047,0.05301218201419047,0.004306593491808649,0.004320540671752724,10,10
2019-03,2019,-0.08574214064810856,-0.0664270131025594,-0.019315127545549163,-0.01527883746258113,0.07030491132620212,-0.07030491132620212,0.00391087484436125,0.003947274495656544,10,10
2019-04,2019,0.06971386500038897,-0.011957498151383842,0.08167136315177281,-0.014880109106596885,-0.06317077941188158,0.06317077941188158,0.004313157097823204,0.004071479209616349,10,10
2019-05,2019,0.05132854461884051,0.007326852213526568,0.044001692405313944,0.053296785002981927,-0.004592081289445223,0.004592081289445223,0.004282520358175703,0.004084869881341749,10,10
