month,year,long_ret,short_ret,longshort_ret,bench_ret,ic,ic_signed,long_cost,short_cost,N_long,N_short
2017-12,2017,-0.0944237961140601,-0.08961773454722315,-0.004806061566836953,0.04611668656357997,-0.036251960614859954,0.036251960614859954,0.003891980444092923,0.003941937407584334,10,10
2018-01,2018,0.06712648587377837,-0.04801013263326475,0.11513661850704313,-0.052346125712210874,-0.31589059151104776,0.31589059151104776,0.004256580636703337,0.0040060768421136105,10,10
2018-02,2018,0.0055209581704342495,0.0026812648641757445,0.002839693306258505,-0.03719076078966261,-0.14425591721720152,0.14425591721720152,0.0040728325142696505,0.004125623181827678,10,10
2018-03,2018,-0.10533117295093604,-0.06385258720085413,-0.04147858575008191,-0.03345642225774257,0.00016362009556491195,-0.00016362009556491195,0.0038614517756793763,0.004049691645017361,10,10
2018-04,2018,-0.05345380733080339,-0.05250541563430957,-0.0009483916964938208,0.010290499948972373,-0.05386796498521445,0.05386796498521445,0.003923218059342779,0.004066514053428606,10,10
2018-05,2018,-0.117746919387437,-0.07247919657283844,-0.045267722814598566,-0.06884987812647103,0.04864986603288922,-0.04864986603288922,0.0038052268329854485,0.004084117607244068,10,10
2018-06,2018,-0.10414274246734026,-0.08707046662734454,-0.017072275839995724,0.032187255040678604,-0.08751141506608442,0.08751141506608442,0.0038257908710454605,0.0039666763337413875,10,10
2018-07,2018,-0.1948707657810555,-0.06802777119470804,-0.12684299458634746,-0.03274496327393586,0.25181457347175756,-0.25181457347175756,0.003646336275736001,0.003934789166188212,10,10
2018-08,2018,0.019877734238648553,0.025293268611161414,-0.0054155343725128605,0.03523367638172855,-0.0353492019712091,0.0353492019712091,0.004105987944907853,0.0041308763530455775,10,10
2018-09,2018,-0.11445692237185928,-0.10772154839122182,-0.006735373980637463,-0.04165287610788874,0.03717222652944563,-0.03717222652944563,0.003801515359130348,0.003863598844708972,10,10
2018-10,2018,0.04738018721720581,-0.0021879985513718362,0.04956818576857765,-0.0013672501690098799,-0.2925877387698197,0.2925877387698197,0.004214686881124749,0.004067775378365554,10,10
2018-11,2018,-0.1318941853666412,-0.0940678725761372,-0.03782631279050398,-0.07675572598440789,-0.10326920620393502,0.10326920620393502,0.003788244635512344,0.003863591513000836,10,10
2018-12,2018,-0.14910806700076992,-0.13554941360244618,-0.013558653398323739,0.0781596366273201,0.022734323176039135,-0.022734323176039135,0.003739291380263186,0.0038204046129277406,10,10
2019-01,2019,0.38732851232095816,0.16648968223752006,0.2208388300834381,0.12994197722231132,-0.3947272140364837,0.3947272140364837,0.004810393304638226,0.004402285885776436,10,10
2019-02,2019,0.09360404369876936,0.1054366126976999,-0.011832568998930537,0.032702998199089395,0.005546190639821204,-0.005546190639821204,0.004227080668092198,0.004322782270904669,10,10
2019-03,2019,-0.05354785793160501,-0.07852485800952186,0.024977000077916846,-0.01527883746258113,-0.1248737267259345,0.1248737267259345,0.003960323844784921,0.003951663491032245,10,9
2019-04,2019,-0.08146103462713364,-0.04902556999397282,-0.03243546463316082,-0.014880109106596885,-0.16808934133935452,0.16808934133935452,0.003906231718798887,0.003960038328189138,10,10
2019-05,2019,-0.07406075486192792,-0.06301051042538039,-0.011050244436547535,0.053296785002981927,-0.03734953435084607,0.03734953435084607,0.0038766417981850334,0.003982119408682077,10,10
2019-06,2019,-0.059436336086472474,-0.06721269207722945,0.007776355990756975,-0.0255227409767276,0.029369095781399686,-0.029369095781399686,0.0039495556495971725,0.003988844643663531,10,10
2019-07,2019,-0.04676605610227504,0.03975772347125695,-0.086523779573532,-0.0010209363062050698,0.09879200896237227,-0.09879200896237227,0.0039423763908725045,0.0042102607841825535,10,10
2019-08,2019,-0.03523679855270818,-0.08657237553851235,0.051335576985804175,-0.008780871070018665,-0.07766217629919678,0.07766217629919678,0.003991712337693451,0.003947106708515113,10,10
2019-09,2019,-0.09262596421108749,-0.04932261863010284,-0.04330334558098465,0.012787103538698786,0.07906701101031462,-0.07906701101031462,0.0038691199486684154,0.003981337696235588,10,10
2019-10,2019,0.010324223581300767,-0.08192923659514097,0.09225346017644173,-0.031301740882067476,-0.03245575210371097,0.03245575210371097,0.004063833227804582,0.003927722153121406,10,10
2019-11,2019,0.06157034678899589,0.0631384718374571,-0.0015681250484612178,0.06791428567481059,-0.00048106755851752797,0.00048106755851752797,0.004173898282187752,0.0042325585091974125,10,10
2019-12,2019,-0.049181189700329864,0.05287143045765105,-0.10205262015798092,-0.03572516796232039,0.05384877070952635,-0.05384877070952635,0.0039858847074472235,0.004190634364194204,10,10
2020-01,2020,0.010396224149335838,0.21634137744793294,-0.2059451532985971,0.06823931235738566,0.21505287151306493,-0.21505287151306493,0.004051909606597154,0.004605044418831591,10,9
2020-02,2020,-0.15886941376931465,-0.21203800041505755,0.053168586645742894,-0.09423650028103046,-0.20782279087697267,0.20782279087697267,0.0037406601067998305,0.003775770399401914,10,10
2020-03,2020,0.06760715545504745,-0.0175470599599132,0.08515421541496065,0.06462489834903544,-0.11953603248589197,0.11953603248589197,0.004333712341241725,0.004081571807345961,10,10
2020-04,2020,-0.10300038949562838,0.0013009797086143543,-0.10430136920424274,-0.017587966060827548,0.08665882723728827,-0.08665882723728827,0.003817262698821811,0.004217542588667552,10,10
2020-05,2020,0.03266291957041898,-0.060322529073514486,0.09298544864393346,0.04850339943175862,0.05889430394813936,-0.05889430394813936,0.00408821777076561,0.003977825736993933,10,10
2020-06,2020,-0.0006418915862610601,0.0668174225559589,-0.06745931414221996,0.10529319585143647,-0.1034950874383058,0.1034950874383058,0.004072045757759407,0.004305488163698143,10,10
2020-07,2020,0.03852058040222402,-0.12940592194876324,0.16792650235098727,0.009411355051529999,-0.08120537131581365,0.08120537131581365,0.004104416490832012,0.003881501524783107,10,7
2020-08,2020,-0.09313045993717696,-0.12494402287291177,0.03181356293573481,-0.05260647794872919,-0.03661233797755129,0.03661233797755129,0.003928901521191053,0.0038731064681884683,9,10
2020-09,2020,-0.1130986827594274,-0.07840756311781419,-0.03469111964161321,0.00303186752837114,0.15950161366747076,-0.15950161366747076,0.0038516525836183903,0.003938382478846765,10,10
2020-10,2020,0.0553404256777354,-0.006552678742124873,0.061893104419860276,0.050715771182079816,-0.19264564966062564,0.19264564966062564,0.004147838083842469,0.004154296837165885,10,9
